short_name,full_name
DRM,Divisional Railway Manager
ADRM,Additional Divisional Railway Manager
AOM,Assistant Operations Manager
DOM,Divisional Operations Manager
Sr.DOM,Senior Divisional Opertion Manager
ADEE,Assistant Divisional Electrical Engineer
DEE,Divisional Electrical Engineer
Sr.DEE,Senior Divisional Electrical Engineer
APO,Assistant Personnel Officer
DPO,Divisional Personnel Officer
Sr.DPO,Senior Divisional Personnel Officer
AMM,Assistant Material Manager
Sr.DMM,Senior Divisional Material Manager
DMM,Divisional Material Manager
Sr.DMO,Senior Divisional Medical Officer
ADEN,Assistant Divisional Engineer
Sr.ADEN,Senior Assistant Divisional Engineer
DEN,Divisional Engineer
ACM,Assistant Commercial Manager
DCM,Divisional Commercial Manager
Sr.DCM,Senior Divisional Commercial Manager
ADME,Assistant Divisional Mechanical Engineer
DME,Divisional Mechanical Engineer
Sr.DME,Senior Divisional Mechanical Engineer
DSTE,Divisional Signal And Telecommunication Engineer
Sr.DSTE,Senior Divisional Signal And Telecommunication Engineer
ADSTE,Assitant Divisional Signal And Telecommunication Engineer
DSC,Divisional Security Commissioner
Sr.DSC,Senior Divisional Security Commissioner
Sr.DEN,Senior Divisional Engineer
ADEN,Assistant Divisional Engineer
ADFM,Assistant Divisional Finance Manager
Sr.DFM,Senior Divisional Finance Manager
