id,full_name,short_name,division_id,district,state
1,BHATARIYA,BTYA,16,MAHESANA,GUJARAT
2,BHATSAR,BATS,16,PATAN,GUJARAT
3,DETHLI,DHLI,16,MAHESANA,GUJARAT
4,DHANPURA,DNPR,16,MAHESANA,GUJARAT
5,GHUMASAN,GUS,16,MAHESANA,GUJARAT
6,GUNJA,GUJ,16,MAHESANA,GUJARAT
7,HAPA  ROAD,HPRD,16,SABAR KANTHA,GUJARAT
8,JADAR,JADR,16,SABAR KANTHA,GUJARAT
9,JALIYA MATH,JLM,16,GANDHINAGAR,GUJARAT
10,KHARI AMARPURA,KIA,16,SABAR KANTHA,GUJARAT
11,KHERALU,KRU,16,MAHESANA,GUJARAT
12,KHEROL,KOY,16,SABAR KANTHA,GUJARAT
13,MAHADEVPURA,MHDP,16,SABAR KANTHA,GUJARAT
14,MEDRA,MDRA,16,GANDHINAGAR,GUJARAT
15,PANCHOT,PHC,16,MAHESANA,GUJARAT
16,PUDGAM GANESHPURA,PDGP,16,MAHESANA,GUJARAT
17,RANDALA,RLD,16,MAHESANA,GUJARAT
18,SAHIJPUR,SAHP,16,AHMADABAD,GUJARAT
19,SANKHARI,SNHR,16,PATAN,GUJARAT
20,SELAVI,SHLV,16,PATAN,GUJARAT
21,VADALI,VAE,16,SABAR KANTHA,GUJARAT
22,VARETHA,VTDI,16,MAHESANA,GUJARAT
23,VENPURA,VNP,16,MAHESANA,GUJARAT
24,VIROCHANNAGAR,VCN,16,AHMADABAD,GUJARAT
25,AHMEDABAD  JN.,ADI,16,AHMADABAD,GUJARAT
26,BHUJ,BHUJ,16,KACHCHH,GUJARAT
27,GANDHIDHAM  JN.,GIMB,16,KACHCHH,GUJARAT
28,PALANPUR JN.,PNU,16,BANAS KANTHA,GUJARAT
29,MAHESANA JN.,MSH,16,MAHESANA,GUJARAT
30,MANINAGAR,MAN,16,AHMADABAD,GUJARAT
31,PATAN,PTN,16,PATAN,GUJARAT
32,SAMAKHIALI JN.,SIOB,16,KACHCHH,GUJARAT
33,SIDDHAPUR,SID,16,PATAN,GUJARAT
34,UNJHA,UJA,16,MAHESANA,GUJARAT
35,VIRAMGAM JN.,VG,16,AHMADABAD,GUJARAT
36,ADIPUR,AI,16,KACHCHH,GUJARAT
37,ANJAR,AJE,16,KACHCHH,GUJARAT
38,BHACHAU,BCOB,16,KACHCHH,GUJARAT
39,CHANDLODIYA,CLDY,16,AHMADABAD,GUJARAT
40,DHRANGANDHRA,DHG,16,SURENDRANAGAR,GUJARAT
41,GANDHINAGAR CAPITAL,GNC,16,GANDHINAGAR,GUJARAT
42,KALOL,KLL,16,GANDHINAGAR,GUJARAT
43,SABARMATI BG,SBT,16,AHMADABAD,GUJARAT
44,SABARMATI MG,SBI,16,AHMADABAD,GUJARAT
45,ADESAR,AAR,16,KACHCHH,GUJARAT
